date,season,rank,team,rating
2026-01-03,2026,1,OKC,10.068480829091433
2026-01-03,2026,2,DEN,6.6832354474767826
2026-01-03,2026,3,HOU,6.562579269338629
2026-01-03,2026,4,NYK,4.800689788442295
2026-01-03,2026,5,SAS,4.343721709847012
2026-01-03,2026,6,BOS,4.120805545810371
2026-01-03,2026,7,DET,3.4639919513428916
2026-01-03,2026,8,MIN,2.7564651512462373
2026-01-03,2026,9,PHX,2.731281704822235
2026-01-03,2026,10,ORL,2.3851510518000003
2026-01-03,2026,11,LAL,2.3694316162567173
2026-01-03,2026,12,CLE,1.999181181093107
2026-01-03,2026,13,GSW,1.5925923543224796
2026-01-03,2026,14,MIA,1.1241273466680912
2026-01-03,2026,15,PHI,0.5040165080164494
2026-01-03,2026,16,TOR,0.31471507735268855
2026-01-03,2026,17,ATL,-0.41086959334913986
2026-01-03,2026,18,MEM,-0.7540363803626171
2026-01-03,2026,19,LAC,-1.2850016006084286
2026-01-03,2026,20,POR,-1.442487364611016
2026-01-03,2026,21,DAL,-2.643161859871959
2026-01-03,2026,22,MIL,-2.7947224493658362
2026-01-03,2026,23,UTA,-3.8871873318802805
2026-01-03,2026,24,CHA,-4.476182694615555
2026-01-03,2026,25,CHI,-4.9411182557440245
2026-01-03,2026,26,SAC,-5.172735655512098
2026-01-03,2026,27,BKN,-5.352920093420675
2026-01-03,2026,28,NOP,-6.326769836538591
2026-01-03,2026,29,IND,-7.359025649559454
2026-01-03,2026,30,WAS,-8.87460279373483
