date,season,rank,team,rating
2025-12-05,2026,1,HOU,11.398614336016767
2025-12-05,2026,2,OKC,11.129754506873262
2025-12-05,2026,3,SAS,7.958860608816584
2025-12-05,2026,4,DEN,7.4588027104040115
2025-12-05,2026,5,NYK,6.679681769552165
2025-12-05,2026,6,ORL,6.4439514821316894
2025-12-05,2026,7,MIA,5.032464280213869
2025-12-05,2026,8,BOS,4.6887567639662615
2025-12-05,2026,9,CLE,4.627428196922549
2025-12-05,2026,10,MIN,4.215423874283252
2025-12-05,2026,11,PHX,4.0848571640615585
2025-12-05,2026,12,LAL,3.9727047381270677
2025-12-05,2026,13,TOR,3.752512478494577
2025-12-05,2026,14,DET,3.3021925903235183
2025-12-05,2026,15,LAC,0.593471797742621
2025-12-05,2026,16,GSW,0.21945404193735538
2025-12-05,2026,17,POR,-0.4922844197837554
2025-12-05,2026,18,PHI,-1.0551947480840138
2025-12-05,2026,19,ATL,-1.9078461418006547
2025-12-05,2026,20,MEM,-2.8169066493352997
2025-12-05,2026,21,MIL,-3.255038672316037
2025-12-05,2026,22,CHI,-4.661137027373574
2025-12-05,2026,23,UTA,-6.2340100378608945
2025-12-05,2026,24,BKN,-6.242816592415724
2025-12-05,2026,25,NOP,-6.631776221759148
2025-12-05,2026,26,DAL,-7.583729385519699
2025-12-05,2026,27,CHA,-8.716452205337553
2025-12-05,2026,28,SAC,-8.937764555530102
2025-12-05,2026,29,IND,-10.569814649777491
2025-12-05,2026,30,WAS,-16.454160032973157
